DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8R;P9;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23;P23S1R;P23S2R;P24;P25;P26;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
55574;2;63;63470;1; ;1;1;20;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;6;0;1;2; ;1;2;2;2;2;2;1; ;1;1; ; ; ; ; ;1;4;5; ;1;2;1;2;2;1;2;1;2;17; ;17; ; ;17; ;17; ;3;1;1;1; ; ; ; ; ; ; ; ; ;2;2;1;2;2;1;1; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55575;2;63;63470;1; ;1;1;39;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;1; ; ; ; ; ;1; ; ; ; ;11; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;21;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;1; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;15; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;1; ;2;2;2;2;1;5; ; ; ; ; ; ; ; ; ;1
55576;2;63;63470;1; ;1;1;31;2;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;10;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;4; ;2;2;1;2;2;2;2;2;2; ; ;16; ; ; ; ; ; ;3; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55577;2;63;63470;1; ;1;1;75;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;20;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55578;2;63;63470;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;26; ; ; ; ;1; ; ;1
55579;2;63;63470;1; ;1;1;75;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;11;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;3; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55580;2;63;63470;1; ;1;1;59;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;25;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;1; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55581;2;63;63470;1; ;1;1;30;1;5;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;10;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;2;2;1;2;2;1;2;2;2; ; ;18; ; ;15; ; ; ;3;1;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55582;2;63;63470;1; ;1;1;33;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;0;6;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;20; ; ; ;6;1;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55583;2;63;63470;1; ;1;1;49;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;21;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;1; ;2;2;2;2;2;1;1;1;1; ; ; ; ; ;18;15;15;15;6;1;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55585;2;63;63470;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;19; ; ; ; ; ; ;1;1
55586;2;63;63470;1; ;1;1;54;2;3;2;1;1;6;4;4;4;1;1;1;4;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;6; ;1;0;4;9; ;2;2;2;2;2;1;6; ;1; ; ; ; ; ; ;2;8;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;1;2;1; ;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;1
55587;2;63;63470;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;32; ; ; ; ; ; ;1;1
55588;2;63;63470;1; ;1;1;63;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;6;0;5;9; ;2;1;2;2;2;2;2;1;1; ; ; ; ; ; ;2;8;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
55589;2;63;63470;1; ;1;1;75;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;16;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55590;2;63;63470;1; ;1;1;26;1;3;2;1;1;5;3;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;4;0;1;4; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;9; ;2;2;1;2;2;1;2;2;2; ; ;15; ; ;15; ; ; ;3;1;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55591;2;63;63470;1; ;1;1;53;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;37;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;4; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;17; ; ; ;6;3;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55592;2;63;63470;1; ;1;1;62;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;12;0;1;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;5; ;2;2;1;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ;3; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55593;2;63;63470;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;30;1; ; ; ; ; ; ;1
55594;2;73;73675;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;70;1; ; ; ; ; ; ;1
55595;2;73;73043;1; ;1;1;52;1;4;2;1;2;6;4;4;4;3;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;7; ;52;0;3;9; ;2;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;2;9; ;2;1;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ;2; ;1;2; ; ; ; ; ; ; ;1; ;2;2;2;2;2;2;2; ;2;2;2;2;2;3; ; ; ; ; ; ; ; ; ;1
55596;2;73;73043;1; ;1;1;52;1;4;2;1;1;6;4;4;4;4;4;3;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;2; ;50;0;5;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;9; ;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;1
55597;2;47;47960;1; ;1;1;65;1;3;1;1;1;6;3;3;3;4;4;2;2;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;2; ;35;0;6;9; ;2;1;2;2;2;2;2; ;1; ; ; ; ; ; ;2;8;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;1
55598;2;73;73043;1; ;1;1;51;1;3;1;1;2;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;2; ;30;0;2;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;9; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55599;2;73;73043;1; ;1;1;60;1;5;1;1;2;6;2;2;2;3;4;2;4;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7; ;49;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;9; ;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55600;2;63;63594;1; ;1;1;33;1;3;1;1;2;6;3;4;3;4;4;4;4;4;2;1; ; ; ; ; ;1; ; ; ; ;11; ; ;2;2;2;1;2; ; ; ;1; ;1;1; ;0;10;1;3; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;9; ;2;1;1;2;2;2;2;2;2; ;15;15; ; ; ; ; ; ;3; ;1;1; ; ; ; ; ; ; ; ; ;1;1;1;2;1;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55601;2;63;63594;1; ;1;1;25;2;3;2;1;2;6;4;4;4;4;4;3;4;2;2;1; ; ; ; ;1; ; ; ; ; ;3;1; ;2;2;2;2;2; ; ; ; ; ;1;7; ;7;0;1;5; ;1;1;2;2;2;1;2;1;1;1;1; ; ; ; ;1;3;4; ;1;2;1;2;2;1;2;2;1;15; ;15; ; ;20; ; ;20;6;1;2; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55602;2;17;17042;1; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;50; ; ; ;1; ; ; ;1
55603;2;73;73168;1;01;1;1;61;1;3;2;1;1;6;4;4;2;3;3;1;3;3;3;1; ; ; ; ; ;1; ; ;1; ;1;1; ;2;2;2;2;2; ; ; ; ; ;2;5; ;58;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55604;2;63;63594;1; ;1;1;71;1;3;2;1;2;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;11; ;2;0;6;8; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;1;9; ;1;2;1;2;2;2;2;2;2;15; ;15; ; ; ; ; ; ;3; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55605;2;63;63594;1; ;1;1;31;1;3;2;1;2;6;4;4;4;4;4;3;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;7;0;1;2; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;4;4; ;1;2;1;2;2;1;2;2;2;15; ;15; ; ;24; ; ; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2;2;2; ;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
55606;2;63;63594;1; ;1;1;35;1;3;2;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;1; ;18;0;1;1; ;1;2;2;2;2;2;1; ;1; ; ; ; ; ; ;2;1;4; ;1;1;1;1;1;1;2;1;2;17;18;19;20;22;15; ;25; ;4;1;2; ; ; ; ; ; ; ; ; ; ;2;2;1;1;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55607;2;63;63594;1; ;1;1;65;1;3;2;1;1;6;4;4;3;2;4;3;3;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2; ; ;2; ; ;1;7; ;18;0;5;3; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;4; ;1;2;2;2;2;2;2;2;2;15; ; ; ; ; ; ; ; ;1; ;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1
55608;2;63;63594;1; ;1;1;67;2;3;2;1;2;6;4;4;2;4;4;4;4;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;2;1;1; ; ; ;1;11; ;0;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55609;2;27;27001;1;01;1;1;68;1;3;1;1;1;5;4;4;4;3;3;4;4;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;30;0;1;9; ;2;2;2;2;2;1;6; ;1; ; ; ; ; ; ;2;8;9; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;30; ; ; ;6;2;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55610;2;27;27001;1;02;1;1;17;2;2;1;1;2;5;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;2; ;0;6;2;2; ;1;2;2;2;2;2;1;1;1; ; ; ; ; ; ;1;5;9; ;2;2;1;2;2;2;2;2;2; ; ;16; ; ; ; ; ; ;3; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1
55612;2;76;76520;1;07;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;42; ; ; ;1; ; ; ;1
55613;2;76;76520;1;07;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;60;1; ; ; ; ; ; ;1
55614;2;76;76520;1;07;1;1;24;2;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;8;0;1;7; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;18; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55615;2;76;76520;1;07;1;1;25;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;4;0;1;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;8;5; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;19; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55616;2;76;76520;1;07;1;1;28;1;4;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;5;0;1;2; ;1;2;2;2;2;2;1; ;1; ; ; ; ; ; ;1;2;3; ;1;2;1;2;2;1;2;2;2;23; ;23; ; ;23; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55617;2;76;76520;1;07;1;1;46;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;11; ;3;0;5;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;1;4; ;2;1;2;2;2;2;2;2;2; ;43; ; ; ; ; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;1; ;1;2;1;2;2;1; ; ; ; ; ; ; ; ; ;1
55618;2;76;76520;1;07;1;1;15;2;4;1;1;1;6;4;4;4;4;4;4;4;4;4;1; ; ; ; ; ; ; ; ; ;1;11; ; ;2;2;2;2;2; ; ; ; ; ;1;8; ;1;0;7;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;1; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;15; ; ; ;6;1;2; ; ; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1; ;1;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1
55619;2;76;76520;1;07;1;1;56;1;3;1;1;1;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;10;0;1;6; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;3;5; ;2;2;2;1;2;2;2;2;2; ; ; ;46; ; ; ; ; ;4; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55620;2;76;76520;1;01;1;1;54;1;3;1;1;2;6;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;30;0;4;2; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;4;5; ;1;1;1;2;2;2;2;2;2;18;18;15; ; ; ; ; ; ;3; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;1;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55623;2;13;13836;1;01;1;1;41;1;3;1;1;1;6;4;2;3;3;4;4;4;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;14;0;1;3; ;1;2;2;2;2;2;1; ;1; ; ; ; ; ; ;1;3;1; ;1;2;1;2;2;1;2;2;2;16; ;16; ; ;28; ; ; ;3;4;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55624;2;52;52565;1; ;1;1;62;1;3;1;1;1;6;2;1;1;1;1;2;2;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;5; ;25;0;4;9; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;2;8;4; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55625;2;19;19355;1; ;1;1;36;1;3;1;1;1;6;3;3;3;3;3;2;3;2;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;2;2; ;20;11;1;1; ;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;4; ;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ;15;9; ;1;2; ; ; ; ; ; ;1; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55742;2;27;27001;1;02;1;1;62;1;3;1;1;2;5;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1; ;30;0;1;9; ;2;2;2;1;2;2;4; ;1; ;1; ; ; ; ;1;5;5; ;2;2;2;2;2;1;2;2;2; ; ; ; ; ;30; ; ; ;6;2;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
55743;2;27;27001;1;02;1;1;67;1;3;1;1;2;5;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;11; ;20;0;11;6; ;1;2;1;1;2;2;4; ;1; ;1; ; ; ; ;1;8;9; ;1;2;1;2;2;2;2;2;2;15; ;20; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2; ;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
